epoch,monotonic_s,sta_tx_bytes,sta_rx_bytes,sta_tx_packets,sta_rx_packets,sta_tx_retries,sta_tx_failed,signal_dbm,wifi_tx_bytes,wifi_rx_bytes,wifi_tx_packets,wifi_rx_packets,wifi_tx_dropped,wifi_rx_dropped,wifi_tx_errors,wifi_rx_errors,wan_rx_bytes,wan_tx_bytes,wan_rx_packets,wan_tx_packets,wan_rx_dropped,wan_tx_dropped,wan_rx_errors,wan_tx_errors
1787644899,5056.12,19561888,2907328,143798,17767,50881,50881,-90,107965472,11225408,199934,56609,104278,10891,104278,10891,100487608,8340314,98902,79341,0,0,0,0
1787644900,5057.60,19668800,2916512,144798,17862,51270,51270,-89,108072384,11234592,200434,56704,104694,10892,104694,10892,100607348,8351386,99000,79529,0,0,0,0
1787644902,5059.10,19773504,2942720,146080,18021,51790,51790,-89,108177088,11260800,201075,56863,105187,10894,105187,10894,100694175,8374091,99174,79760,0,0,0,0
1787644903,5060.59,19928832,2984160,147574,18355,52351,52351,-89,108332416,11302240,201895,57197,105802,10909,105802,10909,100849447,8393151,99443,80043,0,0,0,0
1787644905,5062.07,20016960,3002784,149084,18496,52898,52898,-89,108420544,11320864,202577,57338,106295,10915,106295,10915,100948933,8408255,99558,80249,0,0,0,0
1787644906,5063.55,20122496,3016928,150310,18637,53348,53348,-89,108526080,11335008,203190,57479,106745,10923,106745,10923,101072305,8425327,99703,80466,0,0,0,0
1787644908,5065.04,20328416,3063488,151774,18985,53879,53879,-89,108732000,11381568,203972,57827,107303,10944,107303,10944,101209841,8446997,99942,80734,0,0,0,0
1787644909,5066.53,20416544,3084640,153038,19143,54349,54349,-89,108820128,11402720,204554,57985,107746,10956,107746,10956,101442467,8460413,100168,80909,0,0,0,0
1787644911,5068.02,20524128,3096096,154072,19258,54722,54722,-89,108927712,11414176,205071,58100,108149,10964,108149,10964,101783746,8470784,100443,81052,0,0,0,0
1787644912,5069.50,20779328,3120288,155022,19484,55053,55053,-89,109182912,11438368,205583,58326,108474,10974,108474,10974,102105687,8481848,100711,81214,0,0,0,0
1787644914,5070.99,20926976,3135232,156060,19619,55420,55420,-89,109330560,11453312,206065,58461,108817,10983,108817,10983,102429719,8493785,100984,81363,0,0,0,0
1787644915,5072.47,21045824,3146560,157046,19723,55773,55773,-89,109449408,11464640,206558,58565,109201,10986,109201,10986,102615329,8502874,101107,81493,0,0,0,0
1787644917,5073.96,21274560,3165728,158060,19918,56169,56169,-89,109678144,11483808,207097,58760,109592,10994,109592,10994,102805114,8513074,101265,81641,0,0,0,0
1787644918,5075.44,21449792,3176576,159054,20026,56515,56515,-90,109853376,11494656,207562,58868,109912,10996,109912,10996,102975091,8519151,101402,81723,0,0,0,0
1787644920,5076.92,21560704,3182400,160066,20087,56884,56884,-89,109964288,11500480,208105,58929,110306,10996,110306,10996,103125390,8524814,101540,81827,0,0,0,0
1787644921,5078.42,21814368,3201024,161178,20271,57280,57280,-89,110217952,11519104,208624,59113,110677,10999,110677,10999,103288069,8532760,101689,81939,0,0,0,0
1787644923,5079.91,21941856,3210112,162276,20364,57700,57700,-89,110345440,11528192,209202,59206,111118,11000,111118,11000,103400782,8548488,101810,82044,0,0,0,0
1787644924,5081.39,22041696,3226816,163306,20438,58090,58090,-89,110445280,11544896,209725,59280,111518,11001,111518,11001,103583622,8555180,101968,82135,0,0,0,0
1787644926,5082.88,22299744,3245408,164494,20594,58519,58519,-89,110703328,11563488,210282,59436,111916,11004,111916,11004,103793181,8563967,102140,82249,0,0,0,0
1787644927,5084.37,22433952,3255552,165644,20675,58916,58916,-89,110837536,11573632,210895,59517,112339,11004,112339,11004,103949462,8571707,102282,82356,0,0,0,0
1787644929,5085.85,22577728,3264960,166818,20768,59342,59342,-89,110981312,11583040,211444,59610,112739,11007,112739,11007,104148025,8578758,102435,82451,0,0,0,0
1787644930,5087.34,22817120,3281376,167846,20924,59728,59728,-89,111220704,11599456,211958,59766,113125,11008,113125,11008,104392766,8584285,102642,82545,0,0,0,0
1787644932,5088.84,22962240,3292384,168904,21004,60084,60084,-89,111365824,11610464,212523,59846,113508,11009,113508,11009,104543367,8594592,102779,82650,0,0,0,0
1787644933,5090.31,23103616,3300768,170060,21087,60504,60504,-90,111507200,11618848,213065,59929,113901,11009,113901,11009,104749773,8601528,102936,82759,0,0,0,0
1787644934,5091.81,23370848,3318016,171076,21252,60867,60867,-90,111774432,11636096,213610,60094,114291,11011,114291,11011,104916442,8609525,103082,82886,0,0,0,0
1787644936,5093.30,23534368,3328672,172166,21362,61241,61241,-90,111937952,11646752,214159,60204,114668,11012,114668,11012,105134648,8617396,103262,83003,0,0,0,0
1787644937,5094.78,23685280,3338752,173246,21459,61613,61613,-89,112088864,11656832,214658,60301,115010,11013,115010,11013,105355923,8625056,103446,83105,0,0,0,0
1787644939,5096.26,23942080,3354976,174300,21622,62001,62001,-89,112345664,11673056,215185,60464,115398,11016,115398,11016,105498590,8631058,103609,83200,0,0,0,0
1787644940,5097.74,24072160,3365280,175388,21703,62421,62421,-89,112475744,11683360,215764,60545,115842,11018,115842,11018,105746461,8640534,103771,83301,0,0,0,0
1787644942,5099.21,24189568,3373472,176432,21781,62787,62787,-89,112593152,11691552,216291,60623,116211,11018,116211,11018,105960541,8648610,103939,83406,0,0,0,0
1787644943,5100.69,24414912,3389312,177558,21932,63243,63243,-90,112818496,11707392,216814,60774,116640,11018,116640,11018,106157090,8652622,104098,83472,0,0,0,0
1787644945,5102.20,24514816,3398304,178602,21996,63643,63643,-89,112918400,11716384,217377,60838,117068,11018,117068,11018,106366644,8661571,104271,83565,0,0,0,0
1787644946,5103.68,24652768,3407424,179624,22074,64013,64013,-89,113056352,11725504,217894,60916,117447,11018,117447,11018,106543365,8670389,104435,83684,0,0,0,0
1787644948,5105.16,24875744,3425600,180762,22233,64465,64465,-89,113279328,11743680,218416,61075,117862,11020,117862,11020,106645982,8675465,104545,83757,0,0,0,0
