epoch,monotonic_s,sta_tx_bytes,sta_rx_bytes,sta_tx_packets,sta_rx_packets,sta_tx_retries,sta_tx_failed,signal_dbm,wifi_tx_bytes,wifi_rx_bytes,wifi_tx_packets,wifi_rx_packets,wifi_tx_dropped,wifi_rx_dropped,wifi_tx_errors,wifi_rx_errors,wan_rx_bytes,wan_tx_bytes,wan_rx_packets,wan_tx_packets,wan_rx_dropped,wan_tx_dropped,wan_rx_errors,wan_tx_errors
1787625535,91754.24,20696128,10514464,60268,29351,6504,6504,-62,113965888,17904512,151045,69570,53041,27302,53041,27302,231229190,84698232,243138,185239,0,0,0,0
1787625536,91755.72,20696928,10518272,60280,29373,6504,6504,-62,113966432,17907136,151050,69578,53041,27309,53041,27309,231229335,84698374,243140,185241,0,0,0,0
1787625538,91757.21,20696992,10518496,60374,29378,6513,6513,-62,113966496,17907360,151097,69583,53050,27322,53050,27322,231234510,84702646,243200,185317,0,0,0,0
1787625539,91758.73,20706656,10529184,60436,29463,6516,6516,-63,113976160,17918048,151128,69668,53053,27350,53053,27351,231237735,84705359,243220,185341,0,0,0,0
1787625541,91760.22,20707072,10530816,60438,29490,6516,6516,-63,113976576,17919680,151129,69695,53053,27373,53053,27373,231238105,84706103,243226,185351,0,0,0,0
1787625542,91761.71,20707136,10531808,60452,29505,6516,6516,-63,113976640,17920672,151136,69710,53053,27391,53053,27391,231238667,84706934,243233,185363,0,0,0,0
1787625544,91763.20,20711808,10538080,60540,29570,6518,6518,-61,113981312,17926944,151180,69775,53055,27410,53055,27410,231249089,84712744,243280,185409,0,0,0,0
1787625545,91764.69,20720832,10543680,60584,29617,6518,6518,-61,113990336,17932544,151202,69822,53055,27439,53055,27439,231249518,84714058,243286,185423,0,0,0,0
1787625547,91766.18,20721120,10544736,62260,29631,6601,6601,-62,113990624,17933600,152040,69836,53138,27453,53138,27453,232359763,84744989,244101,185833,0,0,0,0
1787625548,91767.69,21828384,10583392,62278,29757,6601,6601,-63,115097888,17972256,152049,69962,53138,27470,53138,27470,232360941,84745929,244109,185845,0,0,0,0
