epoch,monotonic_s,sta_tx_bytes,sta_rx_bytes,sta_tx_packets,sta_rx_packets,sta_tx_retries,sta_tx_failed,signal_dbm,wifi_tx_bytes,wifi_rx_bytes,wifi_tx_packets,wifi_rx_packets,wifi_tx_dropped,wifi_rx_dropped,wifi_tx_errors,wifi_rx_errors,wan_rx_bytes,wan_tx_bytes,wan_rx_packets,wan_tx_packets,wan_rx_dropped,wan_tx_dropped,wan_rx_errors,wan_tx_errors
1787644173,4330.36,39212704,3966048,93590,17936,13937,13937,-78,39523072,4154336,48573,18906,15096,6023,15096,6023,37574837,3068974,35241,24016,0,0,0,0
1787644175,4331.85,39212704,3966048,93598,17936,13939,13939,-78,39523072,4154336,48577,18906,15098,6029,15098,6029,37575927,3069446,35248,24023,0,0,0,0
1787644176,4333.33,39213888,3967104,93604,17951,13939,13939,-78,39524256,4155392,48582,18921,15098,6039,15098,6039,37576324,3071258,35257,24032,0,0,0,0
1787644177,4334.81,39214944,3969664,93622,17968,13939,13939,-80,39525312,4157952,48589,18938,15098,6053,15098,6053,37578068,3071762,35262,24037,0,0,0,0
1787644179,4336.29,39216096,3970400,93634,17980,13943,13943,-80,39526464,4158688,48595,18950,15102,6059,15102,6059,37578509,3072091,35266,24041,0,0,0,0
1787644180,4337.76,39216704,3971296,93638,17996,13943,13943,-80,39527072,4159584,48597,18966,15102,6065,15102,6065,37578900,3072454,35270,24046,0,0,0,0
1787644182,4339.25,39216800,3971456,93642,17999,13944,13944,-80,39527168,4159744,48599,18969,15103,6067,15103,6067,37578984,3072622,35272,24048,0,0,0,0
1787644183,4340.73,39216800,3971456,93646,17999,13944,13944,-80,39527168,4159744,48601,18969,15103,6072,15103,6072,37579152,3072706,35273,24049,0,0,0,0
1787644185,4342.21,39217312,3972128,93650,18011,13944,13944,-80,39527680,4160416,48603,18981,15103,6076,15103,6076,37579532,3072914,35276,24053,0,0,0,0
1787644186,4343.71,39217312,3972128,93650,18011,13944,13944,-80,39527680,4160416,48603,18981,15103,6076,15103,6076,37579700,3073082,35278,24054,0,0,0,0
1787644188,4345.20,39217312,3972128,93650,18011,13944,13944,-80,39527680,4160416,48603,18981,15103,6076,15103,6076,37579784,3073166,35279,24056,0,0,0,0
1787644189,4346.69,39217408,3972352,93658,18016,13947,13947,-80,39527776,4160640,48607,18986,15106,6080,15106,6080,37579952,3073334,35281,24057,0,0,0,0
1787644191,4348.17,39217760,3972672,93662,18021,13947,13947,-80,39528128,4160960,48609,18991,15106,6084,15106,6084,37580344,3073550,35284,24061,0,0,0,0
1787644192,4349.65,39217760,3972672,93662,18021,13947,13947,-80,39528128,4160960,48609,18991,15106,6084,15106,6084,37580512,3073718,35286,24062,0,0,0,0
1787644194,4351.13,39218176,3973536,93666,18027,13948,13948,-80,39528544,4161824,48611,18997,15107,6088,15107,6088,37581000,3074454,35288,24065,0,0,0,0
1787644195,4352.61,39218176,3973536,93666,18027,13948,13948,-80,39528544,4161824,48611,18997,15107,6088,15107,6088,37581168,3074622,35290,24067,0,0,0,0
1787644197,4354.10,39218176,3973536,93682,18027,13954,13954,-80,39528928,4162400,48619,19005,15113,6094,15113,6094,37582002,3075251,35296,24074,0,0,0,0
1787644198,4355.58,39219104,3974976,93760,18048,13971,13971,-80,39529472,4163264,48658,19018,15130,6110,15130,6110,37589361,3084150,35321,24102,0,0,0,0
1787644200,4357.06,39226144,3984256,93760,18076,13971,13971,-79,39536512,4172544,48658,19046,15130,6116,15130,6116,37589445,3084294,35322,24104,0,0,0,0
1787644201,4358.55,39226144,3984480,93766,18081,13973,13973,-79,39536576,4172960,48661,19056,15132,6120,15132,6120,37589693,3084598,35325,24108,0,0,0,0
1787644203,4360.03,39226336,3985152,93772,18094,13975,13975,-79,39536704,4173440,48664,19064,15134,6128,15134,6128,37589869,3084895,35327,24112,0,0,0,0
1787644204,4361.52,39226336,3992928,93786,18112,13976,13976,-79,39536704,4181216,48671,19082,15135,6144,15135,6144,37590812,3092772,35335,24124,0,0,0,0
1787644206,4363.01,39227360,3994272,93794,18132,13979,13979,-79,39537728,4182560,48675,19102,15138,6151,15138,6152,37591047,3093680,35344,24135,0,0,0,0
1787644207,4364.50,39233088,3997280,93816,18155,13982,13982,-79,39543456,4185568,48686,19125,15141,6164,15141,6164,37596725,3095331,35348,24141,0,0,0,0
1787644209,4365.99,39233088,3997280,93816,18155,13982,13982,-79,39543456,4185568,48686,19125,15141,6164,15141,6164,37596809,3095415,35349,24142,0,0,0,0
1787644210,4367.48,39233088,3997280,93816,18155,13982,13982,-79,39543456,4185568,48686,19125,15141,6164,15141,6164,37596977,3095583,35351,24144,0,0,0,0
1787644212,4368.97,39233088,3997280,93816,18155,13982,13982,-79,39543456,4185568,48686,19125,15141,6164,15141,6164,37597061,3095667,35352,24146,0,0,0,0
1787644213,4370.45,39233184,3997696,93822,18163,13984,13984,-79,39543552,4185984,48689,19133,15143,6170,15143,6170,37597317,3096011,35355,24149,0,0,0,0
1787644215,4371.94,39233184,3997696,93822,18163,13984,13984,-79,39543552,4185984,48689,19133,15143,6170,15143,6170,37597401,3096095,35356,24150,0,0,0,0
1787644216,4373.44,39892864,4058144,96032,18302,14559,14559,-80,40203232,4246432,49794,19272,15718,6179,15718,6179,38503090,3157867,36101,24716,0,0,0,0
1787644218,4374.92,40762688,4132320,97752,18534,14791,14791,-79,41073056,4320608,50693,19504,15956,6188,15956,6188,39580253,3223928,37034,25428,0,0,0,0
1787644219,4376.41,41392832,4167264,98140,18652,14832,14832,-80,41703200,4355552,50848,19622,15991,6193,15991,6193,39829718,3243193,37211,25583,0,0,0,0
1787644221,4377.90,41566272,4215008,98944,18748,14887,14887,-79,41876640,4403296,51250,19718,16046,6212,16067,6212,40382023,3301606,37709,25906,0,0,0,0
1787644222,4379.39,42138976,4255808,99678,18864,14958,14958,-78,42449344,4444096,51642,19834,16119,6226,16119,6226,40564851,3319256,37904,26062,0,0,0,0
1787644224,4380.86,42328032,4275488,100248,18945,15000,15000,-78,42835008,4497184,51968,20007,16164,6243,16164,6243,40891826,3366225,38226,26323,0,0,0,0
1787644225,4382.36,43996960,4407360,103836,19411,15278,15278,-78,44307328,4595648,53709,20381,16437,6314,16437,6314,42783868,3451028,39736,27117,0,0,0,0
1787644227,4383.85,44516960,4429504,104182,19525,15289,15289,-78,44827328,4617792,53869,20495,16450,6335,16450,6335,42969505,3459383,39891,27237,0,0,0,0
1787644228,4385.34,44648672,4438720,104476,19576,15311,15311,-78,45037216,4652352,54016,20595,16470,6351,16470,6351,43108829,3486056,40099,27415,0,0,0,0
1787644230,4386.82,44908544,4482240,104754,19693,15338,15338,-80,45218912,4670528,54155,20663,16497,6371,16497,6371,43311280,3503041,40217,27515,0,0,0,0
1787644231,4388.30,45057664,4491712,104948,19748,15358,15358,-79,45368032,4680000,54252,20718,16517,6385,16517,6385,43501732,3510825,40369,27634,0,0,0,0
1787644232,4389.77,45156736,4496832,105248,19782,15407,15407,-80,45467104,4685120,54402,20752,16566,6388,16566,6395,43636054,3521930,40516,27759,0,0,0,0
1787644234,4391.25,45465664,4523200,105612,19913,15460,15460,-74,45776032,4711488,54584,20883,16619,6423,16619,6423,43866216,3535477,40709,27921,0,0,0,0
1787644235,4392.74,45784608,4542528,106208,20014,15532,15532,-77,46094976,4730816,54882,20984,16691,6442,16691,6442,44270218,3566424,41056,28162,0,0,0,0
1787644237,4394.23,46022944,4575488,106748,20129,15572,15572,-79,46333312,4773344,55165,21155,16732,6479,16732,6479,44477024,3583383,41311,28401,0,0,0,0
1787644238,4395.72,46286144,4639616,107964,20531,15744,15744,-81,46596512,4827904,55760,21501,16903,6538,16903,6538,44708532,3629856,41769,29140,0,0,0,0
1787644240,4397.21,46390912,4673280,108672,20724,15804,15804,-82,46701280,4861568,56114,21694,16963,6563,16963,6563,44893696,3666775,42137,29617,0,0,0,0
1787644241,4398.70,46582464,4714816,109266,20923,15856,15856,-81,47042272,4916576,56411,21962,17015,6583,17015,6583,45079277,3681351,42330,29813,0,0,0,0
1787644243,4400.18,46831264,4742784,109632,21056,15881,15881,-77,47141632,4931072,56594,22026,17040,6611,17040,6611,45270176,3697159,42499,29954,0,0,0,0
1787644244,4401.66,46976864,4750624,109836,21104,15887,15887,-77,47287232,4938912,56696,22074,17046,6627,17046,6627,45374592,3701436,42586,30020,0,0,0,0
1787644246,4403.14,47047840,4754848,110248,21134,15919,15919,-75,47358208,4943136,56902,22104,17078,6636,17078,6636,45579826,3712273,42804,30186,0,0,0,0
1787644247,4404.62,47342656,4775712,110656,21259,15962,15962,-77,47653024,4964000,57106,22229,17121,6662,17121,6662,45780785,3721622,42972,30320,0,0,0,0
1787644249,4406.10,47527104,4786112,111208,21315,16073,16073,-75,47837472,4974400,57389,22285,17232,6675,17232,6675,45934914,3729351,43108,30454,0,0,0,0
1787644250,4407.57,47630464,4793024,111540,21349,16087,16087,-76,47940832,4981312,57548,22319,17246,6686,17246,6686,46110411,3737474,43284,30583,0,0,0,0
1787644252,4409.06,47944160,4819840,112114,21464,16157,16157,-78,48254528,5008128,57835,22434,17316,6710,17316,6710,46375153,3757286,43477,30774,0,0,0,0
1787644253,4410.55,48085152,4828512,112350,21530,16169,16169,-78,48395520,5016800,57971,22500,17331,6734,17331,6734,46512393,3765317,43600,30880,0,0,0,0
1787644255,4412.04,48195488,4838272,112776,21580,16223,16223,-79,48505856,5026560,58166,22550,17382,6759,17382,6759,46688781,3775832,43767,31010,0,0,0,0
1787644256,4413.52,48485856,4870176,113066,21739,16231,16231,-79,48796224,5058464,58311,22709,17390,6803,17390,6803,46877658,3793364,43923,31147,0,0,0,0
1787644258,4414.99,48570304,4876992,113326,21789,16236,16236,-81,48880672,5065280,58441,22759,17395,6826,17395,6826,47049981,3800589,44080,31269,0,0,0,0
1787644259,4416.47,48713472,4925728,113890,21923,16347,16347,-82,49023840,5114016,58723,22893,17506,6887,17506,6887,47237651,3849150,44246,31426,0,0,0,0
1787644261,4417.95,48957632,4941344,114132,22000,16375,16375,-82,49268000,5129632,58852,22970,17535,6897,17535,6897,47331488,3853601,44328,31494,0,0,0,0
1787644262,4419.44,49094240,4951136,114828,22055,16561,16561,-81,49404608,5139424,59192,23025,17720,6904,17720,6904,47524073,3861865,44541,31662,0,0,0,0
1787644264,4420.91,49229984,4959392,115420,22100,16747,16747,-82,49540352,5147680,59488,23070,17906,6916,17906,6916,47714212,3867829,44652,31752,0,0,0,0
1787644265,4422.39,49497888,4976736,116486,22213,17123,17123,-83,49808256,5165024,60021,23183,18291,6953,18291,6953,47931553,3879058,44835,31883,0,0,0,0
1787644267,4423.88,49676544,4988640,117432,22260,17301,17301,-78,49986912,5176928,60494,23230,18460,6954,18460,6954,48256864,3901029,45102,32139,0,0,0,0
1787644268,4425.37,49863680,5005792,117708,22318,17308,17308,-78,50174048,5194080,60632,23288,18467,6973,18467,6973,48409548,3907867,45231,32257,0,0,0,0
1787644270,4426.84,51899840,5067488,125672,22561,19632,19632,-75,52210208,5255776,64614,23531,20791,6995,20791,6995,51510290,3979338,47524,33111,0,0,0,0
1787644271,4428.33,53173888,5134112,127568,22751,20018,20018,-74,53484256,5322400,65595,23721,21178,7008,21178,7008,51624884,3999210,47661,33214,0,0,0,0
1787644273,4429.82,53319648,5143392,127968,22805,20049,20049,-74,53630016,5331680,65762,23775,21208,7023,21208,7024,51818462,4008200,47815,33341,0,0,0,0
1787644274,4431.30,53549504,5158368,128270,22882,20053,20053,-74,53859872,5346656,65913,23852,21212,7040,21212,7040,51968295,4015707,47945,33471,0,0,0,0
1787644275,4432.78,53626880,5161952,128556,22916,20054,20054,-75,53937248,5350240,66062,23886,21213,7048,21213,7048,52123508,4029803,48110,33590,0,0,0,0
1787644277,4434.28,53754144,5177472,128876,22963,20110,20110,-78,54064512,5365760,66216,23933,21269,7063,21269,7063,52295484,4037610,48227,33688,0,0,0,0
1787644278,4435.76,53986880,5191488,129070,23058,20126,20126,-77,54297248,5379776,66313,24028,21285,7095,21285,7095,52420895,4043448,48335,33777,0,0,0,0
1787644280,4437.24,54136992,5200928,129362,23099,20127,20127,-77,54447360,5389216,66462,24069,21286,7106,21286,7106,52587453,4051909,48497,33907,0,0,0,0
1787644281,4438.73,54267648,5209984,129868,23144,20191,20191,-77,54578016,5398272,66712,24114,21350,7116,21350,7116,52869919,4067720,48721,34109,0,0,0,0
1787644283,4440.21,54584480,5232832,130060,23241,20206,20206,-78,54894848,5421120,66808,24211,21365,7134,21365,7134,53027789,4076106,48868,34221,0,0,0,0
1787644284,4441.70,54691584,5240928,130230,23285,20209,20209,-77,55001952,5429216,66893,24255,21368,7151,21368,7151,53213562,4086776,49016,34342,0,0,0,0
1787644286,4443.18,54820480,5248832,130436,23325,20226,20226,-78,55130848,5437120,66996,24295,21385,7158,21387,7162,53383402,4097438,49186,34485,0,0,0,0
1787644287,4444.67,55127072,5274688,130680,23422,20233,20233,-78,55437440,5462976,67118,24392,21392,7172,21392,7172,53543997,4110038,49384,34658,0,0,0,0
1787644289,4446.15,55277184,5283328,130866,23469,20242,20242,-78,55587552,5471616,67211,24439,21401,7180,21401,7180,53724685,4118625,49487,34744,0,0,0,0
1787644290,4447.64,55327104,5286784,131156,23489,20298,20298,-77,55780960,5483616,67373,24503,21458,7191,21458,7191,53868473,4125621,49609,34865,0,0,0,0
1787644292,4449.14,55594560,5302208,131304,23562,20299,20299,-77,55904928,5490496,67430,24532,21458,7201,21458,7201,54031463,4133024,49756,34974,0,0,0,0
1787644293,4450.62,55665632,5306976,131538,23594,20317,20317,-78,55976000,5495264,67549,24564,21476,7211,21476,7211,54190672,4140861,49881,35084,0,0,0,0
1787644295,4452.10,55983232,5326016,131742,23716,20319,20319,-78,56293600,5514304,67649,24686,21478,7247,21478,7247,54377193,4149474,50039,35221,0,0,0,0
1787644296,4453.58,56054176,5334944,132110,23764,20363,20363,-77,56364544,5523232,67833,24734,21522,7258,21522,7258,54582783,4166502,50252,35412,0,0,0,0
1787644298,4455.07,56284960,5352864,132508,23833,20386,20386,-74,56595328,5541152,68032,24803,21545,7269,21545,7269,54764485,4172777,50401,35535,0,0,0,0
1787644299,4456.56,56512288,5366848,132812,23909,20387,20387,-69,56822656,5555136,68184,24879,21546,7281,21546,7281,54922540,4181713,50542,35681,0,0,0,0
1787644301,4458.07,56700800,5381504,133194,23978,20400,20400,-71,57011168,5569792,68375,24948,21559,7301,21559,7302,55109739,4193863,50702,35800,0,0,0,0
1787644302,4459.56,56798080,5394752,133510,24023,20406,20406,-75,57108448,5583040,68533,24993,21565,7319,21565,7319,55292211,4209204,50868,35944,0,0,0,0
1787644304,4461.05,57009152,5408352,133750,24096,20419,20419,-78,57319520,5596640,68653,25066,21578,7331,21578,7331,55406590,4215449,51036,36028,0,0,0,0
1787644305,4462.55,57166560,5419328,134324,24150,20530,20530,-77,57476928,5607616,68940,25120,21689,7337,21689,7337,55625489,4227749,51165,36197,0,0,0,0
1787644307,4464.03,57225088,5424608,135050,24183,20733,20733,-77,57535456,5612896,69303,25153,21892,7352,21892,7352,55830884,4243480,51389,36400,0,0,0,0
1787644308,4465.52,57567200,5456032,135894,24349,21007,21007,-78,57877568,5644320,69725,25319,22166,7381,22166,7381,55967122,4253163,51541,36497,0,0,0,0
1787644310,4467.01,57690496,5461120,136338,24384,21056,21056,-78,58000864,5649408,69947,25354,22215,7393,22215,7393,56204095,4263673,51701,36653,0,0,0,0
1787644311,4468.48,57799552,5470560,136502,24431,21072,21072,-77,58109920,5658848,70110,25401,22239,7401,22239,7401,56382990,4271205,51908,36785,0,0,0,0
1787644313,4469.97,58118528,5493024,136970,24548,21105,21105,-80,58428896,5681312,70263,25518,22264,7417,22264,7417,56575253,4283490,52069,36972,0,0,0,0
1787644314,4471.45,58297344,5503840,137538,24607,21218,21218,-78,58607712,5692128,70547,25577,22377,7427,22377,7427,56741668,4291319,52152,37046,0,0,0,0
1787644316,4472.94,58352224,5506560,137964,24629,21295,21295,-78,58662592,5694848,70770,25599,22454,7444,22454,7444,56913285,4301481,52331,37183,0,0,0,0
1787644317,4474.42,58532128,5520704,138264,24696,21327,21327,-77,58943008,5715520,70910,25717,22486,7473,22486,7473,57105193,4311302,52467,37303,0,0,0,0
1787644319,4475.91,58735968,5533920,138882,24786,21462,21462,-78,59046336,5722208,71219,25756,22621,7479,22621,7479,57280564,4319171,52608,37422,0,0,0,0
1787644320,4477.40,58911424,5543712,139186,24837,21469,21469,-80,59221792,5732000,71371,25807,22628,7488,22628,7488,57461785,4327195,52758,37544,0,0,0,0
1787644322,4478.88,59068832,5554144,139398,24883,21483,21483,-80,59455680,5747712,71478,25893,22642,7506,22642,7506,57586947,4334414,52871,37648,0,0,0,0
1787644323,4480.36,59299776,5569472,139800,24973,21526,21526,-80,59610144,5757760,71678,25943,22685,7523,22685,7523,57758349,4341642,53012,37759,0,0,0,0
1787644325,4481.85,59445024,5577952,140132,25023,21561,21561,-80,59755392,5766240,71845,25993,22720,7539,22720,7539,57921272,4349176,53147,37874,0,0,0,0
1787644326,4483.35,59675648,5607872,140480,25117,21569,21569,-80,59986016,5796160,72018,26087,22728,7547,22728,7547,58094613,4372881,53340,38041,0,0,0,0
1787644328,4484.82,59913632,5625152,141062,25179,21602,21602,-80,60224000,5813440,72309,26149,22761,7559,22761,7559,58429621,4390409,53617,38293,0,0,0,0
1787644329,4486.34,60099840,5638784,141366,25241,21618,21618,-80,60410208,5827072,72461,26211,22777,7566,22777,7566,58562821,4397603,53769,38419,0,0,0,0
1787644331,4487.83,60316800,5654784,141692,25331,21632,21632,-80,60627168,5843072,72624,26301,22791,7583,22791,7583,58738432,4407228,53921,38552,0,0,0,0
1787644332,4489.33,60462816,5663456,141946,25375,21636,21636,-80,60773184,5851744,72751,26345,22795,7592,22795,7592,58943929,4413821,54034,38643,0,0,0,0
1787644334,4490.82,60542336,5668384,142352,25405,21649,21649,-80,60852704,5856672,72954,26375,22808,7605,22808,7605,59118240,4425235,54182,38764,0,0,0,0
1787644335,4492.29,60834176,5686528,142632,25487,21678,21678,-80,61144544,5874816,73094,26457,22837,7612,22837,7612,59297607,4432525,54330,38876,0,0,0,0
1787644336,4493.77,60939200,5692704,142792,25523,21678,21678,-80,61249568,5880992,73174,26493,22837,7625,22837,7625,59474923,4441156,54474,39015,0,0,0,0
