epoch,monotonic_s,sta_tx_bytes,sta_rx_bytes,sta_tx_packets,sta_rx_packets,sta_tx_retries,sta_tx_failed,signal_dbm,wifi_tx_bytes,wifi_rx_bytes,wifi_tx_packets,wifi_rx_packets,wifi_tx_dropped,wifi_rx_dropped,wifi_tx_errors,wifi_rx_errors,wan_rx_bytes,wan_tx_bytes,wan_rx_packets,wan_tx_packets,wan_rx_dropped,wan_tx_dropped,wan_rx_errors,wan_tx_errors
1787623446,89665.10,2331392,2609664,16774,9394,2119,2119,-65,95600896,9998528,129297,49599,48656,20025,48656,20025,214002891,77905946,218498,162616,0,0,0,0
1787623447,89666.58,2331392,2609664,16774,9394,2119,2119,-65,95601024,9998720,129298,49602,48656,20027,48656,20027,214003171,77906144,218501,162618,0,0,0,0
1787623449,89668.06,2331840,2610176,16782,9404,2119,2119,-65,95601344,9999040,129301,49609,48656,20033,48656,20033,214003423,77906412,218505,162621,0,0,0,0
1787623450,89669.54,2331840,2610176,16782,9404,2119,2119,-65,95601344,9999040,129301,49609,48656,20033,48656,20033,214003591,77906496,218506,162622,0,0,0,0
