epoch,monotonic_s,sta_tx_bytes,sta_rx_bytes,sta_tx_packets,sta_rx_packets,sta_tx_retries,sta_tx_failed,signal_dbm,wifi_tx_bytes,wifi_rx_bytes,wifi_tx_packets,wifi_rx_packets,wifi_tx_dropped,wifi_rx_dropped,wifi_tx_errors,wifi_rx_errors,wan_rx_bytes,wan_tx_bytes,wan_rx_packets,wan_tx_packets,wan_rx_dropped,wan_tx_dropped,wan_rx_errors,wan_tx_errors
1787623470,89689.22,2334272,2613504,16846,9458,2126,2126,-65,95603776,10002368,129333,49663,48663,20072,48663,20072,214005768,77908264,218532,162642,0,0,0,0
1787623471,89690.70,2334272,2613504,16850,9458,2126,2126,-65,95603776,10002368,129335,49663,48663,20076,48663,20076,214005997,77908513,218535,162645,0,0,0,0
1787623473,89692.20,2335168,2614816,16864,9477,2126,2126,-65,95604672,10003680,129342,49682,48663,20086,48663,20086,214006735,77909109,218544,162652,0,0,0,0
1787623474,89693.69,2335168,2614816,16864,9477,2126,2126,-65,95604672,10003680,129342,49682,48663,20086,48663,20086,214006819,77909193,218545,162653,0,0,0,0
1787623476,89695.18,2335232,2615040,16868,9481,2126,2126,-65,95604736,10003904,129344,49686,48663,20092,48663,20092,214007031,77909493,218549,162657,0,0,0,0
1787623477,89696.66,2335328,2615232,16868,9485,2126,2126,-65,95604832,10004096,129344,49690,48663,20094,48663,20094,214007491,77909691,218554,162661,0,0,0,0
1787623479,89698.17,2335744,2615680,16876,9493,2126,2126,-65,95605248,10004544,129348,49698,48663,20098,48663,20098,214007895,77910071,218558,162664,0,0,0,0
1787623480,89699.65,2335744,2615680,16876,9493,2126,2126,-65,95605248,10004544,129348,49698,48663,20098,48663,20098,214007979,77910155,218559,162665,0,0,0,0
1787623482,89701.14,2335744,2615680,16876,9493,2126,2126,-65,95605248,10004544,129348,49698,48663,20098,48663,20098,214008063,77910323,218561,162667,0,0,0,0
1787623483,89702.64,2335968,2615936,16886,9498,2127,2127,-65,95605472,10004800,129353,49703,48664,20106,48664,20106,214008595,77910621,218566,162670,0,0,0,0
1787623485,89704.15,2336192,2616192,16886,9503,2127,2127,-65,95605696,10005056,129353,49708,48664,20106,48664,20106,214008679,77910789,218568,162672,0,0,0,0
