epoch,monotonic_s,sta_tx_bytes,sta_rx_bytes,sta_tx_packets,sta_rx_packets,sta_tx_retries,sta_tx_failed,signal_dbm,wifi_tx_bytes,wifi_rx_bytes,wifi_tx_packets,wifi_rx_packets,wifi_tx_dropped,wifi_rx_dropped,wifi_tx_errors,wifi_rx_errors,wan_rx_bytes,wan_tx_bytes,wan_rx_packets,wan_tx_packets,wan_rx_dropped,wan_tx_dropped,wan_rx_errors,wan_tx_errors
1787624974,91193.08,9602240,7486816,34282,19090,3508,3508,-63,102871744,14875680,138051,59295,50045,23543,50045,23543,221129284,82267458,230463,173076,0,0,0,0
1787624975,91194.55,9602240,7486816,34282,19090,3508,3508,-63,102871744,14875680,138051,59295,50045,23543,50045,23543,221129368,82267542,230464,173077,0,0,0,0
1787624977,91196.03,9602240,7486816,34282,19090,3508,3508,-63,102871744,14875680,138051,59295,50045,23543,50045,23543,221129452,82267710,230466,173079,0,0,0,0
1787624978,91197.52,9602240,7486816,34282,19090,3508,3508,-63,102871744,14875680,138051,59295,50045,23543,50045,23543,221129620,82267794,230467,173080,0,0,0,0
1787624980,91199.00,9602240,7486816,34282,19090,3508,3508,-63,102871744,14875680,138051,59295,50045,23543,50045,23543,221129772,82268074,230470,173084,0,0,0,0
1787624981,91200.50,9602336,7486848,34286,19091,3508,3508,-63,102871840,14875712,138053,59296,50045,23551,50045,23551,221130044,82268386,230473,173090,0,0,0,0
