epoch,monotonic_s,sta_tx_bytes,sta_rx_bytes,sta_tx_packets,sta_rx_packets,sta_tx_retries,sta_tx_failed,signal_dbm,wifi_tx_bytes,wifi_rx_bytes,wifi_tx_packets,wifi_rx_packets,wifi_tx_dropped,wifi_rx_dropped,wifi_tx_errors,wifi_rx_errors,wan_rx_bytes,wan_tx_bytes,wan_rx_packets,wan_tx_packets,wan_rx_dropped,wan_tx_dropped,wan_rx_errors,wan_tx_errors
1787622979,89198.40,1947808,2217184,14022,6797,1944,1944,-69,95217312,9606048,127921,47002,48481,18447,48481,18447,213584153,77633272,216993,161279,0,0,0,0
1787622981,89199.87,1947808,2217184,14046,6797,1947,1947,-69,95217312,9606048,127933,47002,48484,18466,48484,18466,213588655,77636976,217007,161297,0,0,0,0
1787622982,89201.35,1952512,2222816,14056,6841,1948,1948,-69,95222016,9611680,127938,47046,48485,18468,48485,18468,213588739,77637144,217010,161300,0,0,0,0
1787622983,89202.85,1952960,2223424,14064,6854,1948,1948,-69,95222464,9612288,127942,47059,48485,18479,48485,18479,213589271,77637442,217014,161302,0,0,0,0
1787622985,89204.33,1952960,2223424,14064,6854,1948,1948,-69,95222464,9612288,127942,47059,48485,18479,48485,18479,213589355,77637610,217016,161304,0,0,0,0
1787622986,89205.83,1952960,2223424,14064,6854,1948,1948,-69,95222464,9612288,127942,47059,48485,18479,48485,18479,213589523,77637694,217017,161305,0,0,0,0
